finding_id,run_id,matched_pair_id,repository,provider,model,path,start_line,end_line,category,severity,word_count,content_sha256,excerpt,has_suggestion,has_existing_code,duplicate_group,is_duplicate_or_rephrase,semantic_overlap_group,adjudication,usefulness,context_status,action_status,no_action_reason,action_evidence,source_path,source_sha256
QZC-011,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/src/http/app.ts,101,103,maintainability,medium,124,9d3e7565905bd27817166ce60d5cc2946a853f8324b17ab4dd40ec00fa322b50,"The `git` property returned by `createStartupContext` is silently discarded. Line 101 destructures only `config`, `agentExecutor`, `taskStoreForExecutor`, and `taskStoreForHandler` — omitting `git`. Line 103 then fetches `git` separately vi",yes,yes,,no,,partial,low,grounded,no_direct_fix,partial/speculative or remedy not selected,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-012,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/src/http/app.test.ts,100,100,maintainability,low,92,ed94c37f83d46a17ad68f44dfb0e0a96e004ffc49faacef9acacc1dd7f125bd6,"The `as never` type assertion is used to bypass TypeScript's type system entirely. This is more dangerous than `as any` because `never` is the bottom type — it suppresses ALL type checking on the assignment, including obvious mismatches in ",yes,yes,,no,,valid,low,grounded,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-013,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/src/http/app.test.ts,853,859,test,medium,110,02541b01803c2d600549f249097047cbdbb3a73e522d8aa5e218f50fc4265ba7,The SSE streaming test was refactored from event-listener-based assertions (`.on('data')` / `.on('end')`) to a buffered `await request(app)` call. While this works because the `/executeCommand` streaming endpoint calls `res.end()` after the,no,yes,,no,,partial,low,grounded,no_direct_fix,partial/speculative or remedy not selected,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-014,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/src/http/app.test.ts,98,102,maintainability,medium,81,b652660f3f52a712e74a301ba5ed59b569e2bca59c295488e465b646faacd364,"The `createTask` override wraps the real `Task.create(...)`, which internally instantiates a real `AgentClient` via `createAgentClient()` (line 137 of task.ts), builds runtime state, and creates a scheduler (line 154). Although `agentClient",no,yes,,no,,partial,low,grounded,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-015,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/src/persistence/gcs.test.ts,70,76,bug,medium,154,51b29a51fbcdb9145d9041639107f9ea4b51f386ec37b29e8e87ffc18417d87c,"When the promise rejects with a non-Error value (e.g., a string, plain object, or number), `expect(error).toBeInstanceOf(Error)` will fail (which is correct), but if that assertion somehow passes or is bypassed, the `if (error instanceof Er",yes,yes,,no,,invalid,low,grounded,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-016,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/src/http/endpoints.test.ts,93,95,maintainability,medium,106,5b2d27554472e1d8e3a178e246d75e90c17caca715e80ed44fb925ea1379df65,"Using `as never` to bypass type checking erases the entire type contract between the mock executor and `CoderAgentExecutor`. If the real `CoderAgentExecutor` interface changes (e.g., a method is renamed or a new required method is added), T",yes,yes,,no,endpoint-as-never,valid,medium,grounded,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-017,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/src/http/endpoints.test.ts,63,63,test,low,106,f58f57c6e30ed93306a707f621497ee44a4c741f47ea634c9b68d733458fc886,"`reconstruct` is a bare `vi.fn()` that resolves to `undefined`, but the real `CoderAgentExecutor.reconstruct()` returns `Promise<TaskWrapper>`. In `handleTaskMetadata` (app.ts line 411-416), if a task is not in the executor's in-memory map ",no,yes,,no,endpoint-reconstruct-mock,valid,low,grounded,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-018,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/src/persistence/gcs.ts,27,31,maintainability,low,70,941cc25b27c7dffee0268cef8b959124e7e53dedff9e7372c8a7c5009424ced7,"The `createArchive` and `extractArchive` dependency signatures use `Promise<unknown>` as the return type, which weakens type safety compared to the real `tar.c` / `tar.x` signatures that return `Promise<void>`. While the callers currently d",yes,yes,,no,,partial,low,grounded,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-019,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/src/persistence/gcs.ts,56,63,maintainability,low,60,88869158577a58871768f823fd82002458a0ab125e8633bc2e4d45379032681d,"The pattern `(this.dependencies.X ?? defaultX)` is repeated over 15 times throughout the class, creating visual noise and making the code harder to maintain. Consider merging defaults into the dependencies object once in the constructor, e.",yes,yes,,no,,partial,low,grounded,no_direct_fix,partial/speculative or remedy not selected,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-020,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/bun-test-setup.ts,301,308,bug,high,80,0cee3a73221f6fafecccbadcbf08bb16ed9dcc006a5156871c13e3995abe9970,Missing `cleanup()` call from `ink-testing-library` in `afterEach`. The original Vitest setup (`test-setup.ts` line 248) calls `cleanupInkRenders()` in `afterEach` to unmount all active Ink render instances. The `ink-testing-library.ts` stu,yes,yes,,no,,valid,high,grounded,no_direct_fix,no direct change found in review-remediation commit,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-021,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/bunfig.toml,0,0,performance,high,101,f27ff75a8a343b03a4c776c61b7a5bea18d8b5768f56b7a5b06ddaedb0ee817d,"`importActual` calls `afterEach(...)` on **every invocation**. Since `importActual` is called from `wrapMockFactory`, every `vi.mock(id, factory)` whose factory calls `importOriginal()` registers yet another duplicate `afterEach` hook. In a",yes,yes,importActual-hook,yes,importActual-hook,valid,low,stale_or_misattributed,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-022,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/bunfig.toml,0,0,maintainability,medium,63,e0d3031fa5885d0de62b3051aee521be3f14661ee33afce96c3d11805f6d302f,"The cleanup steps in this `afterEach` are called sequentially without error isolation. If `restoreProcessListeners` or `DebugLogger.resetForTesting()` throws, the remaining cleanup calls (`__resetCleanupStateForTesting`, `clearActiveProvide",yes,yes,,no,,partial,low,grounded,no_direct_fix,partial/speculative or remedy not selected,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-023,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/package.json,0,0,bug,high,120,f8f6e799077843d2e065a8677c2f5954f821aef05cfc2abd31ea827bc82705ab,"The `importActual` function registers a new `afterEach` callback every time it is called. Since `importActual` is invoked by every `vi.mock` factory's `importOriginal` wrapper (`wrapMockFactory`), and mocks are registered at module evaluati",yes,yes,importActual-hook,yes,importActual-hook,valid,low,stale_or_misattributed,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-024,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/package.json,0,0,bug,medium,81,5c07d211e13dc29466c7ea4cd00b6bab80e454e148e8dc67ac9e46e4be99349c,"The `createApp` function's return type is inferred as `Promise<express.Express | void>` because the `catch` block calls `process.exit(1)` (which TypeScript types as returning `never`, but the function still has an implicit `undefined` retur",yes,yes,createApp-return,no,,invalid,low,stale_or_misattributed,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-025,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/package.json,0,0,performance,low,45,6a2d3fb51be2bd52f91d469dc9eb6676237a64bca8d9d1de9720b55a80176799,"`StubRegistry.stub` calls `Object.getOwnPropertyDescriptor(this.target, key)` twice when the key is already in the snapshot map — once to check configurability and then again inside the non-configurable branch. The descriptor could be fetch",yes,yes,descriptor-double-read,no,,partial,low,stale_or_misattributed,no_direct_fix,partial/speculative or remedy not selected,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-026,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/package.json,0,0,bug,low,82,b63e89088d1ac5bdde5b1aa820a340dea7ceecba8b67cb8692b848d5d25d38de,"The `message-bus.ts` test file diff changes `confirmationTimeoutMs` to a configurable constructor parameter, but this test helper file is not shown in the diff. The concern is: the default of `300000` (5 minutes) is still hardcoded as a mag",no,yes,,no,,invalid,low,stale_or_misattributed,no_direct_fix,invalid/unsupported,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-027,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/package.json,0,0,maintainability,medium,91,d2b72e9b580370acf53fb07fd81eb1fb5ff5f6936957a656d4789c32cf1e3db1,"The `proxy-socket-client.ts` change adds `this.socket.on('end', () => this.onClose())` in addition to the existing `this.socket.on('close', () => this.onClose())`. The `end` event fires when the remote end sends FIN, while `close` fires whe",no,yes,,no,proxy-end-close,valid,medium,stale_or_misattributed,no_direct_fix,no direct change found in review-remediation commit,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-028,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/package.json,0,0,bug,medium,67,a5c08f61864509f5f6a336451cc7843a3c0e80a410995766ca18f839669c4cd9,"The `createApp` function's declared return type is `Promise<void>` but the function actually returns an Express app on the success path. The `catch` block calls `process.exit(1)` (typed as `never`), so the function effectively returns `Prom",yes,yes,createApp-return,yes,,valid,low,stale_or_misattributed,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-029,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/package.json,0,0,performance,low,43,8c7a2a06a48608d710d5748ac9dc3b473c408297830164e3cc59bd16a6650cb0,"`StubRegistry.stub` calls `Object.getOwnPropertyDescriptor(this.target, key)` twice when the key is already in the snapshot map — once to snapshot the original descriptor, and then again to check configurability. The descriptor could be fet",yes,yes,descriptor-double-read,yes,,partial,low,stale_or_misattributed,no_direct_fix,duplicate/rephrased claim,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-030,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/bunfig.toml,0,0,bug,high,125,ae5cc84f0ef6e1954fe62f334e595d1b3f742a42ba4330a3a3235749ecb8ce45,"`afterEach` is called inside `importActual`, which is invoked every time a `vi.mock` factory calls its `importOriginal()` callback (via `wrapMockFactory` at line 60). This means each `vi.mock(id, factory)` registration adds a new `afterEach",yes,yes,importActual-hook,yes,importActual-hook,valid,low,stale_or_misattributed,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-031,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/bunfig.toml,0,0,bug,high,99,9aec26641961a94165b7a9a399cc06ade0627d6cbb4b78a45497581fb45bb85f,"`shutdown()` unconditionally calls `process.exit(0)` at line 376. The `onUncaughtException` and `onUnhandledRejection` handlers (lines 331, 335) call `shutdown().finally(() => process.exit(1))` intending to exit with code 1 on errors. Howev",yes,yes,shutdown-exit-code,no,,valid,high,stale_or_misattributed,no_direct_fix,no direct change found in review-remediation commit,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-032,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/bunfig.toml,0,0,bug,high,75,d8edda5212adb90035be202e4d60ec519be90dbb3a15197906e0f2bfdb8b82c7,"`createApp` now accepts injected dependencies for testability (line 99), but the catch block at line 125 still calls `process.exit(1)` unconditionally. When tests inject mock dependencies that intentionally throw (to test error paths), `pro",yes,yes,,no,,partial,medium,stale_or_misattributed,no_direct_fix,partial/speculative or remedy not selected,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-033,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/package.json,0,0,bug,high,74,f7d7b57e7328630cfe0ed866e23c03c2a1ad6c05ec66eaa9075f129968269c83,"`shutdown()` calls `process.exit(0)` at line 376, which terminates the process immediately with exit code 0. In the `onUncaughtException` and `onUnhandledRejection` handlers, `shutdown().finally(() => process.exit(1))` is intended to exit w",yes,yes,shutdown-exit-code,yes,,valid,low,stale_or_misattributed,no_direct_fix,duplicate/rephrased claim,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-034,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/test-utils/augment-bun-vi-cleanup.test.ts,13,24,test,medium,136,5f692cc473deb84046c3cc6543fb04cae45e929c8114f9614c74a907e2bde38a,The test only verifies stubbing keys that did **not** previously exist on `process.env` / `globalThis` (restore = delete). It does not cover the most common real-world scenario: stubbing a key that **already has a value** and verifying it i,yes,yes,,no,,valid,medium,grounded,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-035,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/src/session/interactiveUI.tsx,108,116,maintainability,low,123,45f56df876853deb294eafa8c7ceac3cdd4a106213b8d0951cc0edbf1423acd9,"`__resetInteractiveUIStateForTesting()` (line 108) resets all other module-level test state (`latestInstance`, `cleanupRegistered`, `titleResetExitListenerRegistered`, `syncCleanupRegistered`) but does NOT reset `render` back to `inkRender`",yes,yes,,no,,partial,low,grounded,no_direct_fix,partial/speculative or remedy not selected,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-036,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/cli/tsconfig.bun.json,4,7,bug,high,75,2ad333cc2809c56510eaedb84c27b92154a3257b91d779d26bcce10f00cbba1a,"TypeScript does not deep-merge `paths` when extending a config — the child's `paths` entirely replaces the parent's. The base `tsconfig.json` defines critical `@vybestack/*` path mappings (lines 12–37) such as `@vybestack/llxprt-code-auth`,",yes,yes,,no,,valid,high,grounded,no_direct_fix,no direct change found in review-remediation commit,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-037,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/lsp/src/main.ts,329,336,bug,medium,98,f950fd0107d85d62ae6a91ff625873492294bc5771c8e2c4b1074d9d2aa91b69,"The `onUncaughtException` and `onUnhandledRejection` handlers call `shutdown().finally(() => process.exit(1))` without a `.catch()`. If `shutdown()` itself rejects (e.g., if `process.exit(0)` at line 376 throws in certain test/mock environm",yes,yes,,no,,partial,low,grounded,no_direct_fix,partial/speculative or remedy not selected,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-038,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/lsp/src/main.ts,0,0,test,low,74,158c8f8c41083ef463a5c98cd52697ce0ed60bb93f6044c5fd46449577abfdf5,"The test 'SIGTERM handler calls orchestrator.shutdown' (line 368-393) uses `await Promise.resolve()` to flush microtasks after calling the SIGTERM handler. However, `shutdown()` is async with multiple `await` points. While it works today be",yes,yes,,no,,partial,low,stale_or_misattributed,no_direct_fix,partial/speculative or remedy not selected,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-039,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/lsp/package.json,19,19,maintainability,medium,73,9b578dd8512fe3d6c674ff975b9f14cf5d18c30e130aa963f6f41a35c93309ed,"The `test:vitest` script invokes `vitest`, but `vitest` is not listed in devDependencies. Other packages with the same `test:vitest` script (a2a-server, policy, test-utils) all declare `vitest` in their devDependencies. While vitest may res",yes,yes,,no,lsp-vitest-dependency,partial,low,grounded,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-040,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/lsp/package.json,17,18,bug,high,87,1a91513d56778087cac8e5f384ea0a6dd9111fc9816894b0cbd428d108f5efa9,"The `test:ci` script is just `bun test` without JUnit reporter or coverage flags, while the CI pipeline expects `packages/*/junit.xml` (for the dorny/test-reporter step) and `packages/*/coverage` (for the coverage artifact upload). Compare ",yes,yes,,no,,partial,medium,grounded,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-041,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/lsp/test/main.test.ts,444,449,maintainability,low,78,42fdced1f747c39643f165192119570f9010ef880135fc9ff485fbd4c2a2697f,The `toServerRegistryEntries` function is exported from `../src/main.js` and could be imported directly at the top of the file alongside `main` and `parseBootstrapFromEnv`. Since `vi.resetModules()` was removed (and is a no-op under Bun any,yes,yes,,no,,partial,low,grounded,no_direct_fix,partial/speculative or remedy not selected,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
