finding_id,cohort_id,repository,pr_number,reviewer,source_author,reviewed_sha,reviewed_at,match_quality,finding_url,summary,category,validity,action,action_quality,usefulness,disposition_url,overlap_group,retrieved_on
O014,P03,vybestack/llxprt-jefe,181,OCR,github-actions[bot],f2409b7fca9dd4e52f85473e6d162b1e17763b20,2026-07-10T19:52:25Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561603236,Confirm modal loses destructive-action color distinction,ux,unadjudicated,no-action,unverifiable,high,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561603236,G05,2026-07-14
O015,P03,vybestack/llxprt-jefe,181,OCR,github-actions[bot],f2409b7fca9dd4e52f85473e6d162b1e17763b20,2026-07-10T19:52:15Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561602556,Theme picker may leak mouse events to the PTY,correctness,unadjudicated,no-action,unverifiable,high,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561602556,,2026-07-14
O016,P03,vybestack/llxprt-jefe,181,OCR,github-actions[bot],f2409b7fca9dd4e52f85473e6d162b1e17763b20,2026-07-10T19:52:28Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561603515,Selected merge method loses its visual highlight,ux,unadjudicated,no-action,unverifiable,high,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561603515,,2026-07-14
C003,P03,vybestack/llxprt-jefe,181,CodeRabbit,coderabbitai[bot],f2409b7fca9dd4e52f85473e6d162b1e17763b20,2026-07-10T20:02:40Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658080,Repeated line-index post-increment boilerplate,maintainability,unadjudicated,no-action,unverifiable,low,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658080,G02,2026-07-14
C004,P03,vybestack/llxprt-jefe,181,CodeRabbit,coderabbitai[bot],f2409b7fca9dd4e52f85473e6d162b1e17763b20,2026-07-10T20:02:40Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658097,Renderer duplicates the separator literal,maintainability,unadjudicated,no-action,unverifiable,medium,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658097,G03,2026-07-14
C005,P03,vybestack/llxprt-jefe,181,CodeRabbit,coderabbitai[bot],f2409b7fca9dd4e52f85473e6d162b1e17763b20,2026-07-10T20:02:40Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658071,Chooser-width doc comment remains malformed,documentation,unadjudicated,no-action,unverifiable,low,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658071,G04,2026-07-14
C006,P03,vybestack/llxprt-jefe,181,CodeRabbit,coderabbitai[bot],f2409b7fca9dd4e52f85473e6d162b1e17763b20,2026-07-10T20:02:40Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658102,Confirm title and button visual distinction is lost,ux,unadjudicated,no-action,unverifiable,high,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658102,G05,2026-07-14
C007,P03,vybestack/llxprt-jefe,181,CodeRabbit,coderabbitai[bot],f2409b7fca9dd4e52f85473e6d162b1e17763b20,2026-07-10T20:02:40Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658064,Confirm dimensions drift and wildcard match weaken exhaustiveness,maintainability,unadjudicated,no-action,unverifiable,medium,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658064,,2026-07-14
C008,P03,vybestack/llxprt-jefe,181,CodeRabbit,coderabbitai[bot],f2409b7fca9dd4e52f85473e6d162b1e17763b20,2026-07-10T20:02:41Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658115,New-agent hint can exceed the fixed overlay projection,ux,unadjudicated,no-action,unverifiable,medium,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658115,,2026-07-14
O017,P04,vybestack/llxprt-jefe,288,OCR,github-actions[bot],4e4a43c08bef2d9f55e50b48d18145cf001b75d9,2026-07-14T01:25:24Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575420878,Executable lookup should reject PATH symlinks,security,invalid,dismissed,appropriate,low,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575604585,,2026-07-14
O018,P04,vybestack/llxprt-jefe,288,OCR,github-actions[bot],4e4a43c08bef2d9f55e50b48d18145cf001b75d9,2026-07-14T01:25:24Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575420880,Unnecessary path clone,performance,unadjudicated,no-action,unverifiable,low,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575420880,,2026-07-14
O019,P04,vybestack/llxprt-jefe,288,OCR,github-actions[bot],4e4a43c08bef2d9f55e50b48d18145cf001b75d9,2026-07-14T01:25:24Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575420882,Non-UTF8 PATHEXT silently falls back,robustness,unadjudicated,no-action,unverifiable,low,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575420882,,2026-07-14
O020,P04,vybestack/llxprt-jefe,288,OCR,github-actions[bot],4e4a43c08bef2d9f55e50b48d18145cf001b75d9,2026-07-14T01:25:24Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575420885,Second sibling parent removal returns NotFound,correctness,unadjudicated,no-action,unverifiable,high,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575420885,G06,2026-07-14
O021,P04,vybestack/llxprt-jefe,288,OCR,github-actions[bot],4e4a43c08bef2d9f55e50b48d18145cf001b75d9,2026-07-14T01:25:24Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575420889,One git restore process is spawned per file,performance,partial,dismissed,appropriate,low,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575604679,G07,2026-07-14
C009,P04,vybestack/llxprt-jefe,288,CodeRabbit,coderabbitai[bot],4e4a43c08bef2d9f55e50b48d18145cf001b75d9,2026-07-14T01:32:14Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575442393,Cleanup ordering lacks rollback and omits empty directories,correctness,invalid,dismissed,appropriate,low,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575605788,,2026-07-14
C010,P04,vybestack/llxprt-jefe,288,CodeRabbit,coderabbitai[bot],4e4a43c08bef2d9f55e50b48d18145cf001b75d9,2026-07-14T01:32:14Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575442397,One git restore process is spawned per file,performance,partial,dismissed,appropriate,low,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575605776,G07,2026-07-14
C011,P04,vybestack/llxprt-jefe,288,CodeRabbit,coderabbitai[bot],4e4a43c08bef2d9f55e50b48d18145cf001b75d9,2026-07-14T01:32:14Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575442399,Owned metadata-directory comparison is case-sensitive,correctness,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575442399,,2026-07-14
C012,P04,vybestack/llxprt-jefe,288,CodeRabbit,coderabbitai[bot],4e4a43c08bef2d9f55e50b48d18145cf001b75d9,2026-07-14T01:32:14Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575442403,Speculative Windows reparse-point removal recommendation,correctness,invalid,dismissed,appropriate,low,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575607047,,2026-07-14
C013,P04,vybestack/llxprt-jefe,288,CodeRabbit,coderabbitai[bot],4e4a43c08bef2d9f55e50b48d18145cf001b75d9,2026-07-14T01:32:14Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575442408,Second sibling parent removal returns NotFound,correctness,unadjudicated,no-action,unverifiable,high,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575442408,G06,2026-07-14
C014,P04,vybestack/llxprt-jefe,288,CodeRabbit,coderabbitai[bot],4e4a43c08bef2d9f55e50b48d18145cf001b75d9,2026-07-14T01:32:14Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575442414,Invalid gh override is misreported as not installed,observability,unadjudicated,no-action,unverifiable,medium,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575442414,,2026-07-14
O022,P05,vybestack/llxprt-luther,110,OCR,github-actions[bot],af9922e648900e2b557c93fe80ae47fa59d9c98b,2026-07-05T18:58:40Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525454606,General exclude labels are reused as active-parent labels,correctness,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3528721545,G08,2026-07-14
O023,P05,vybestack/llxprt-luther,110,OCR,github-actions[bot],af9922e648900e2b557c93fe80ae47fa59d9c98b,2026-07-05T18:58:45Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525454926,Missing run becomes misleading Some empty string,correctness,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525454926,G09,2026-07-14
O024,P05,vybestack/llxprt-luther,110,OCR,github-actions[bot],af9922e648900e2b557c93fe80ae47fa59d9c98b,2026-07-05T18:58:48Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525455138,Poller SQLite connection lacks busy timeout,concurrency,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3528722121,G10,2026-07-14
O025,P05,vybestack/llxprt-luther,110,OCR,github-actions[bot],af9922e648900e2b557c93fe80ae47fa59d9c98b,2026-07-05T18:58:51Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525455315,Capacity check uses the wrong routed config id,correctness,unadjudicated,no-action,unverifiable,high,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525455315,,2026-07-14
O026,P05,vybestack/llxprt-luther,110,OCR,github-actions[bot],af9922e648900e2b557c93fe80ae47fa59d9c98b,2026-07-05T18:59:02Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525455984,Auto-merge failure can still return success,correctness,unadjudicated,no-action,unverifiable,high,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525455984,,2026-07-14
O027,P05,vybestack/llxprt-luther,110,OCR,github-actions[bot],af9922e648900e2b557c93fe80ae47fa59d9c98b,2026-07-05T18:59:07Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525456199,Fatal workflow transition is unreachable,maintainability,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3528722710,,2026-07-14
C015,P05,vybestack/llxprt-luther,110,CodeRabbit,coderabbitai[bot],af9922e648900e2b557c93fe80ae47fa59d9c98b,2026-07-05T16:36:13Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525236636,General exclude labels are reused as active-parent labels,correctness,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525981335,G08,2026-07-14
C016,P05,vybestack/llxprt-luther,110,CodeRabbit,coderabbitai[bot],af9922e648900e2b557c93fe80ae47fa59d9c98b,2026-07-05T16:36:13Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525236640,Missing run becomes misleading Some empty string,correctness,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525981373,G09,2026-07-14
C017,P05,vybestack/llxprt-luther,110,CodeRabbit,coderabbitai[bot],af9922e648900e2b557c93fe80ae47fa59d9c98b,2026-07-05T16:36:13Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525236643,Poller SQLite connection lacks busy timeout,concurrency,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525981414,G10,2026-07-14
C018,P05,vybestack/llxprt-luther,110,CodeRabbit,coderabbitai[bot],af9922e648900e2b557c93fe80ae47fa59d9c98b,2026-07-05T16:36:13Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525236630,Sub-issue listing fails instead of paginating beyond 100,correctness,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525981234,,2026-07-14
C019,P05,vybestack/llxprt-luther,110,CodeRabbit,coderabbitai[bot],af9922e648900e2b557c93fe80ae47fa59d9c98b,2026-07-05T16:36:13Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525236632,Native sub-issue failure lacks body-reference fallback,robustness,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525981258,,2026-07-14
C020,P05,vybestack/llxprt-luther,110,CodeRabbit,coderabbitai[bot],af9922e648900e2b557c93fe80ae47fa59d9c98b,2026-07-05T16:36:13Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525236635,Hardcoded squash can fail where squash merges are disabled,correctness,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525981292,,2026-07-14
O028,P06,vybestack/llxprt-luther,133,OCR,github-actions[bot],2b7d7576c057f955d92aa21cd02c2a34e8c04db0,2026-07-12T07:30:23Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876024,Only one of multiple artifact warnings is retained,observability,unadjudicated,no-action,unverifiable,high,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876024,,2026-07-14
O029,P06,vybestack/llxprt-luther,133,OCR,github-actions[bot],2b7d7576c057f955d92aa21cd02c2a34e8c04db0,2026-07-12T07:30:25Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876068,SQL parameter offset arithmetic can drift,maintainability,unadjudicated,no-action,unverifiable,medium,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876068,,2026-07-14
O030,P06,vybestack/llxprt-luther,133,OCR,github-actions[bot],2b7d7576c057f955d92aa21cd02c2a34e8c04db0,2026-07-12T07:30:27Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876088,SQL status binding allocates and contradicts its comment,performance,unadjudicated,no-action,unverifiable,low,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876088,,2026-07-14
O031,P06,vybestack/llxprt-luther,133,OCR,github-actions[bot],2b7d7576c057f955d92aa21cd02c2a34e8c04db0,2026-07-12T07:30:33Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876234,Terminal SQL list duplicates enum terminal semantics,maintainability,unadjudicated,no-action,unverifiable,medium,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876234,,2026-07-14
O032,P06,vybestack/llxprt-luther,133,OCR,github-actions[bot],2b7d7576c057f955d92aa21cd02c2a34e8c04db0,2026-07-12T07:30:35Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876261,Concurrent status transition can be misclassified,concurrency,unadjudicated,no-action,unverifiable,high,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876261,,2026-07-14
O033,P06,vybestack/llxprt-luther,133,OCR,github-actions[bot],2b7d7576c057f955d92aa21cd02c2a34e8c04db0,2026-07-12T07:30:38Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876322,Status-only classification reads a full run record,performance,unadjudicated,no-action,unverifiable,low,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876322,,2026-07-14
C021,P06,vybestack/llxprt-luther,133,CodeRabbit,coderabbitai[bot],2b7d7576c057f955d92aa21cd02c2a34e8c04db0,2026-07-12T07:30:50Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876539,Single-component crate import is redundant,maintainability,unadjudicated,no-action,unverifiable,low,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876539,,2026-07-14
C022,P06,vybestack/llxprt-luther,133,CodeRabbit,coderabbitai[bot],2b7d7576c057f955d92aa21cd02c2a34e8c04db0,2026-07-12T07:30:50Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876541,Environment-variable test lock is not shared across modules,tests,unadjudicated,no-action,unverifiable,high,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876541,,2026-07-14
C023,P06,vybestack/llxprt-luther,133,CodeRabbit,coderabbitai[bot],2b7d7576c057f955d92aa21cd02c2a34e8c04db0,2026-07-12T07:30:50Z,exact-head,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876542,Documented transaction-step order differs from code,documentation,unadjudicated,no-action,unverifiable,low,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565876542,,2026-07-14
